cidade   ;actt;pibpc;ater;gurb;frvei;pop
Ibema;8;11527;150,039;81,45;1903;6066
Ibiporã;236;24108;298,87;95,22;20695;48198
Icaraíma;11;10842;693,684;70,6;3329;8839
Iguaraçu;;20888;163,247;89,38;1678;3982
Iguatu;;17597;107,466;64,37;735;2234
Imbaú;4;10060;330,154;62,62;3156;11274
Imbituva;84;12319;758,479;62,86;10831;28455
Inácio Martins;7;8627;936,592;57,46;2406;10943
Inajá;;10145;194,374;92,4;1024;2988
Indianópolis;15;27104;122,187;73,2;1990;4299
Ipiranga;33;16978;926,955;34,55;5000;14150
Iporã;48;11544;651,329;78,61;6604;14981
Iracema do Oeste;4;14475;82,453;77,66;1027;2578
Irati;400;13972;995,289;79,94;24487;56207
Iretama;5;9118;568,33;58,25;3189;10622
Itaguajé;12;9729;190,614;79,6;1978;4568
Itaipulândia;60;15022;332,317;52,53;3957;9026
Itambaracá;6;10661;206,933;75,16;2253;6759
Itambé;10;13896;244,439;94,9;2734;5979
Itapejara d'Oeste;30;15205;254,207;66,35;4525;10531
Itaperuçu;19;11914;320,158;83,54;7833;23887
Itaúna do Sul;10;8584;128,223;71,14;1300;3583
Ivaí;14;15505;609,538;36,12;4837;12815
Ivaiporã;194;11304;434,662;86,24;15553;31816
Ivaté;19;13695;411,563;69,64;2932;7514
Ivatuba;6;13908;95,076;76,21;990;3010
Jaboti;5;8035;138,969;61,75;1538;4902
Jacarezinho;298;13838;603,111;88,89;15441;39121
Jaguapitã;36;25858;478,452;84,91;4712;12225
Jaguariaíva;55;21580;1456,401;86;11761;32606
Jandaia do Sul;160;17725;187,811;90,44;10003;20269
Janiópolis;;12468;337,687;61,82;2345;6532
Japira;4;10152;189,08;55,74;1209;4903
Japurá;12;10616;166,515;89,12;4027;8549
Jardim Alegre;;8787;410,772;58,19;4506;12324
Jardim Olinda;;15292;128,473;71,04;831;1409
Jataizinho;19;9648;161,977;93,08;4829;11875
Jesuítas;33;14387;249,207;67,44;4319;9001
Joaquim Távora;32;18718;289,337;76,56;3914;10736
Jundiaí do Sul;3;11786;319,744;57,56;779;3433
Juranda;7;19190;345,757;76,42;3654;7641
Jussara;1;13731;207,709;89,62;2863;6610
Kaloré;2;10058;193,908;71,42;1973;4506
Lapa;136;16808;2097,751;60,58;16969;44932
Laranjal;4;6305;558,013;31,93;1118;6360
Laranjeiras do Sul;146;9528;673,313;81,33;11057;30777
Leópolis;6;14875;345,957;57,93;1239;4145
Lidianópolis;;9102;152,533;51,5;1492;3973
Lindoeste;1;15171;360,991;44,47;1825;5361
Loanda;111;10616;719,86;90,91;9888;21201
Lobato;19;23028;239,801;93,27;1977;4401
Londrina;5676;21360;1656,606;97,4;284867;506701
Luiziana;;17774;908,788;65,02;1775;7315
Lunardelli;;8460;198,929;69,65;1964;5160
Lupionópolis;2;9430;120,194;88,83;2182;4592
Mallet;39;19692;724,479;58,35;4770;12973
Mamborê;23;18343;782,904;64,35;6489;13961
Mandaguaçu;29;12034;293,436;88,9;8242;19781
Mandaguari;220;16730;336,323;94,72;15676;32658
Mandirituba;9;15928;381,392;33,37;8917;22220
Manfrinópolis;2;10287;215,965;20,85;791;3127
Mangueirinha;40;41679;1073,311;49,24;5888;17048
Manoel Ribas;4;11021;571,282;51,67;5022;13169
Marechal Cândido Rondon;593;21008;748,281;83,61;29229;46819
Maria Helena;;7360;483,67;67,06;1952;5956
Marialva;140;14814;475,128;80,7;16882;31959
Marilândia do Sul;19;17016;383,146;71,24;3817;8863
Marilena;16;7283;215,761;72,67;2540;6858
Mariluz;14;8590;428,329;82,81;3152;10224
Maringá;6644;23958;486,433;98,2;237656;357077
Mariópolis;19;16611;230,769;71,3;2638;6268
Maripá;8;26998;287,047;57,39;3066;5684
Marmeleiro;71;11654;388,864;63,48;5994;13900
Marquinho;1;7700;510,307;10,52;1153;4981
Marumbi;8;8159;210,412;68,24;1846;4603
Matelândia;65;15876;642,03;72,23;7475;16078
Matinhos;221;11490;116,544;99,49;8603;29428
Mato Rico;1;8545;396,589;25,07;811;3818
Mauá da Serra;3;15678;109,051;81,98;2894;8555
Medianeira;501;17941;325,167;89,41;22590;41817
Mercedes;17;16913;199,084;48,34;3012;5046
Mirador;;18241;221,976;67,86;585;2327
Miraselva;1;11321;87,832;76,8;744;1862
Missal;31;17397;323,042;51,75;5746;10474
Moreira Sales;;9671;357,358;78,8;4039;12606
Morretes;53;9152;687,541;45,67;4211;15718
Munhoz de Melo;;11521;137,603;80,99;1243;3672
Nossa Senhora das Graças;1;8893;185,538;82,95;1124;3836
Nova Aliança do Ivaí;2;14022;132,012;72,75;491;1431
Nova América da Colina;2;12135;129,024;72,57;1310;3478
Nova Aurora;84;17272;472,214;76,18;5747;11866
Nova Cantu;2;10283;550,591;55,27;2092;7425
Nova Esperança;206;14403;402,329;91,39;13461;26615
Nova Esperança do Sudoeste;;11223;208,334;34,21;1904;5098
Nova Fátima;10;10434;281,825;81,12;2572;8147
Nova Laranjeiras;1;7685;1210,878;21,1;2500;11241
Nova Londrina;80;12879;270,361;91,94;7565;13067
Nova Olímpia;11;7324;135,614;85,14;2299;5503
Nova Prata do Iguaçu;31;13187;351,115;58,47;4148;10377
Nova Santa Bárbara;6;8705;79,566;83,9;1462;3908
Nova Santa Rosa;40;18636;207,017;69,7;4430;7626
